User;Activity;realtime;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
2;1;5894;6463;63;;64302668;0.107;-0.863;0.042;-8.3;21.5;1.6;-1381;264.5;-288;-1.5;-13;253.8;101954;0;1;1;19;18;24.28;41.01;0;0.000852;
2;1;5895;6464;63;;64302668;0.098;-0.855;0.038;-6.5;17.1;1.3;-1381;260;-291;-1.4;-12.9;254.3;101954;0;1;1;19;18;24.28;41.01;0;0.000852;
2;1;5896;6465;64;;64302989;0.092;-0.834;0.03;-5.6;14.1;2.3;-1385.5;266;-292.5;-1.3;-12.9;254.7;101952;0;1;1;19;18;24.28;41.01;0;0.006816;
2;1;5897;6466;64;;64302990;0.103;-0.846;0.027;-4.5;11.6;3.7;-1373.5;270.5;-288;-1.2;-12.8;255.1;101952;0;1;1;19;18;24.28;41.01;0;0.006816;
2;1;5898;6467;64;;64302990;0.111;-0.846;0.028;-3.3;9.5;4.2;-1375;260;-289.5;-1.2;-12.7;255.4;101952;0;1;1;19;18;24.28;41.01;0;0.006816;
2;1;5899;6468;64;;64302991;0.112;-0.864;0.033;-1.9;7.9;4.2;-1379.5;260;-288;-1.1;-12.7;255.7;101952;0;1;1;19;18;24.28;41.01;0;0.006816;
2;1;5900;6469;64;;64302991;0.109;-0.87;0.039;-0.9;5.6;3.8;-1375;258.5;-298.5;-1.1;-12.6;256;101952;0;1;1;19;18;24.28;41.01;0;0.006816;
2;1;5901;6470;64;;64302992;0.11;-0.902;0.038;-0.8;2.9;4;-1372;255.5;-295.5;-1.1;-12.5;256.1;101949;0;1;1;19;18;24.28;41.01;0.127;0.001704;
2;1;5902;6471;64;;64302992;0.104;-0.917;0.034;-0.3;1;5;-1370.5;254;-300;-1.1;-12.4;256.3;101949;0;1;1;19;18;24.28;41.01;0.127;0.001704;
2;1;5903;6472;64;;64302992;0.116;-0.946;0.033;1.4;-0.1;6;-1364.5;258.5;-298.5;-1.1;-12.3;256.4;101949;0;1;1;19;18;24.28;41.01;0.127;0.001704;
